experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred
Exp_002,CNN,21.075926352852427,12.154722926858964,1.7339701184203702,26.765010575946707,-5.68908422309428,False,Inlier,0.029916338290779904,-0.31905024021928957,9.356179146984823,55,0.3618421052631579,12.153457641601562,2.601960153956162,20.14046199501399,5.029363679564311,-1.0304022876405305,0.030402287640530545,1.0276364368260198,7.939626216888428
Exp_002,Transformer,14.011442685285726,4.123185192048702,3.398208431749778,26.765010575946707,-12.753567890660982,False,Inlier,1.2706595982232667,1.9291210765918319,2.925410738178328,2,0.013157894736842105,2.7274169921875,1.050052655370612,9.204959005901987,4.5921679935560205,-1.0519584763389267,0.051958476338926696,0.14318184923830116,3.4850597381591797
Exp_003,RF,34.81187800675706,15.2012910578075,2.2900606188233867,25.29088359763415,9.520994409122913,False,Inlier,-0.11906475593977385,-0.20206873454252638,5.111483830841414,47,0.3092105263157895,7.669723369224343,1.6598915089649613,9.38505035430169,3.937194787445855,-0.8949777828661524,0.10502221713384763,0.3216833622070668,1.2249608369138643
Exp_003,XGB,35.255635561810365,21.676448941667154,1.6264488550078362,25.29088359763415,9.964751964176216,False,Inlier,-0.5057730523485551,0.616279515238317,4.818719938689587,38,0.25,8.52276611328125,1.356098965594643,9.206001888527688,3.9294536762631322,-0.8933667485149935,0.10663325148500646,0.42742742746429113,8.557958602905273
Exp_003,SVR,32.74812688245945,25.773811939633788,1.2705969516329434,25.29088359763415,7.457243284825303,False,Inlier,-0.07208543222951305,0.11505356904822187,5.1687109644472695,55,0.3618421052631579,8.292940069821995,2.6146122274540593,12.494564589498534,4.188138894259195,-0.9034045057798986,0.09659549422010139,0.4186037709013301,3.461093757535224
Exp_003,LSTM,15.397980178552691,8.106526192318032,1.8994548112537084,25.29088359763415,-9.892903419081458,False,Inlier,-1.7508562331878907,1.2737635103235228,9.528365746043086,53,0.34868421052631576,10.79559326171875,2.2275253408833553,23.260196941690694,5.41614693203758,-1.1285652066945735,0.1285652066945735,0.941897166989198,4.2936811447143555
Exp_003,CNN,17.833640312808843,9.139065705675621,1.95136361715111,25.29088359763415,-7.4572432848253065,False,Inlier,-0.7753433431573132,0.17783652205483988,8.036285489213233,55,0.3618421052631579,14.910675048828125,4.261285672062321,22.764782522484627,5.3126061836185885,-1.0349080962512172,0.03490809625121716,0.8001139485519473,4.017706871032715
Exp_003,Transformer,6.552994010318304,5.1450293320838245,1.2736553258218706,25.29088359763415,-18.737889587315845,False,Inlier,-0.954363375804299,-1.0708429033463045,4.523410482344285,7,0.046052631578947366,3.0216522216796875,1.1075222805926674,10.52420284529659,4.750031782767253,-1.0257827795395593,0.02578277953955932,0.31620406959984443,4.4861345291137695
Exp_004,RF,35.52612532964075,14.079453337810705,2.5232602770332355,27.897230096370727,7.628895233270022,False,Inlier,0.7904153145048901,0.08041467031104804,6.433764717867735,43,0.28289473684210525,7.995283922128358,1.5737397045015442,9.596482765392834,3.9468791100208866,-0.867350538286121,0.13264946171387904,0.4067706975097458,0.1782932557896062
Exp_004,XGB,32.98090896936154,26.374142601214903,1.2505016548990036,27.897230096370727,5.0836788729908164,False,Inlier,-1.0075530208618584,-0.559340464278767,3.3285334655661987,27,0.17763157894736842,6.7452392578125,1.0110116820586355,7.542018470081674,3.8556677524646985,-0.923301744625303,0.07669825537469699,0.26868437490273184,11.738663673400879
Exp_004,SVR,32.39936443805188,24.788243679133217,1.307045584085722,27.897230096370727,4.502134341681156,False,Inlier,-1.0788172214270344,1.0233409692934612,5.571532487460247,57,0.375,9.284233288576928,2.806509401984739,13.743354120547005,4.231926146435565,-0.8965144088306786,0.10348559116932143,0.4562947008399271,3.3172507027961444
Exp_004,LSTM,23.395095754689567,21.2143506979853,1.10279574839457,27.897230096370727,-4.50213434168116,False,Inlier,1.1503043757039935,-1.0356196082396192,7.319025887383355,53,0.34868421052631576,12.469348907470703,2.308556167702926,22.09325704573022,5.255642718439689,-1.1242536135634875,0.12425361356348752,0.8999550117034766,6.883430480957031
Exp_004,CNN,21.885073712830295,14.501131737049818,1.509197634341518,27.897230096370727,-6.012156383540432,False,Inlier,0.23087755432574278,-0.8328028248841477,14.270996305677626,49,0.3223684210526316,7.011528015136719,1.7171357619135004,14.424793644157653,4.562742947916209,-0.860873323714839,0.13912667628516096,0.8614218371599037,2.895176887512207
Exp_004,Transformer,20.54322537691486,6.1123773168565965,3.360922323996778,27.897230096370727,-7.354004719455865,False,Inlier,3.2192372694765883,1.8764714252844625,4.625479355357052,17,0.1118421052631579,6.182464599609375,1.179779074693981,11.96077063576457,4.709244628845006,-1.0098253925136507,0.009825392513650666,0.4909767117034113,2.668896198272705
Exp_005,RF,35.35989909174025,12.405664643218435,2.8503026729059426,30.111402181625287,5.248496910114966,False,Inlier,0.5787527072932511,0.4765732677411501,6.599784598573789,38,0.25,8.717907764515353,1.4695634491834677,9.350176300747203,3.9352706701375415,-0.8594279313600466,0.14057206863995342,0.4103069613632411,0.12639855342118345
Exp_005,XGB,34.41721661908016,26.147311233961037,1.3162812922186002,30.111402181625287,4.30581443745487,False,Inlier,-0.6907191606328129,-0.3536417495232941,5.721667233635397,31,0.20394736842105263,7.6465911865234375,1.1029365752872669,7.247452538279237,3.6789104150605283,-0.8655344260711442,0.13446557392885583,0.28052485624644574,14.519415855407715
