experiment,model,outlier_type,mean_corr_with_others,min_corr_with_others,max_corr_with_others,std_corr_with_others,rank_in_experiment
Exp_078,CNN,Inlier,0.3073271712831983,0.18822697944707145,0.47322090989599175,0.10112273352161702,4
Exp_078,Transformer,Type2,0.5038658605333904,0.3153247070469203,0.7456051728101545,0.17171980445392548,2
Exp_079,RF,Inlier,0.16742899613022866,-0.20208316495985737,0.8178081716185327,0.37208073333059716,2
Exp_079,XGB,Inlier,-0.04348525314002311,-0.15960372795011293,0.037410696285573974,0.0760947184968139,5
Exp_079,SVR,Inlier,0.19013851927353653,-0.3242989553273381,0.8178081716185327,0.3698935129560984,1
Exp_079,LSTM,Inlier,0.08456312215391616,-0.11224692766501095,0.3015794260826324,0.15884445130204344,3
Exp_079,CNN,Inlier,-0.014850886455220823,-0.41379337086802165,0.18481843210881027,0.20660339509945308,4
Exp_079,Transformer,Inlier,-0.22901614578630203,-0.41379337086802165,-0.09265831011128209,0.1234304110094144,6
Exp_080,RF,Inlier,0.16684529318284055,-0.46670733935753284,0.784736593860373,0.4538354718389078,2
Exp_080,XGB,Type1,-0.37434241291951525,-0.47467402661412306,-0.21297406484169773,0.09628515966016875,6
Exp_080,SVR,Inlier,0.11293556739654394,-0.30708424395495326,0.7847365938603729,0.39543028961865956,3
Exp_080,LSTM,Inlier,0.07271045320688867,-0.3834369107675859,0.38059118321838603,0.265828987981467,4
Exp_080,CNN,Inlier,-0.00908116066055219,-0.3339197230166368,0.3805911832183861,0.31030613807344676,5
Exp_080,Transformer,Type2,0.20201784903143608,-0.47467402661412306,0.5595650567830894,0.35250961747445936,1
Exp_081,RF,Inlier,0.2970678392457323,-0.3178846255702253,0.8333898559288724,0.4085785803941393,1
Exp_081,XGB,Inlier,0.29622394526652485,-0.32767564269536475,0.8333898559288726,0.41612017635995496,2
Exp_081,SVR,Inlier,0.22588375024435692,-0.17236324126850777,0.6571244722357624,0.36325220978748785,3
Exp_081,LSTM,Inlier,0.023716333484986897,-0.2564416059893795,0.3789915318927505,0.2243949053824766,5
Exp_081,CNN,Inlier,-0.2446212086971445,-0.32767564269536475,-0.12280583442078917,0.0766682243254479,6
Exp_081,Transformer,Inlier,0.15283517322506107,-0.1982983348099637,0.3789915318927504,0.19508444325354599,4
Exp_082,RF,Inlier,0.3299015462483649,0.06309128548292223,0.7809369463701584,0.24294673944082285,1
Exp_082,XGB,Inlier,-0.05413984674761545,-0.5701707421547388,0.2043007981131286,0.26742960423094575,6
Exp_082,SVR,Inlier,0.32430626155315,0.0974189340157898,0.7809369463701584,0.23915370449514095,2
Exp_082,LSTM,Inlier,0.1355465451278748,-0.026714844298959303,0.3399446511378459,0.16101624597515937,3
Exp_082,CNN,Inlier,0.10743448462654881,-0.005408303274513582,0.26037181050592456,0.11025125292605666,4
Exp_082,Transformer,Type2,-0.046730716718292147,-0.5701707421547388,0.20516303774497344,0.27208465804756615,5
Exp_083,RF,Inlier,0.02001919043515877,-0.3771303694628143,0.77199896675175,0.39201787351251777,3
Exp_083,XGB,Inlier,-0.07922971457266674,-0.3771303694628143,0.3446313862497068,0.2542706491912209,5
Exp_083,SVR,Inlier,0.06843406722456832,-0.22461085770511818,0.77199896675175,0.3618169629554902,2
Exp_083,LSTM,Inlier,-0.09129773317464598,-0.19901941174073481,0.11421610569200902,0.11328758823795748,6
Exp_083,CNN,Inlier,-0.017980331253484666,-0.05844150290318759,0.05998067979562666,0.04351364017411274,4
Exp_083,Transformer,Inlier,0.06981896313623352,-0.09960514005920972,0.3446313862497068,0.15324789444860915,1
Exp_084,RF,Inlier,0.35751507047404907,-0.443403938029756,0.8090491356355624,0.4224962823041739,2
Exp_084,XGB,Inlier,0.3016614538846291,-0.2931039862650662,0.6415886563651325,0.32847302741712253,3
Exp_084,SVR,Inlier,0.4252068340320717,-0.34849899285756214,0.8090491356355624,0.4052981724736716,1
Exp_084,LSTM,Inlier,0.2468661390947655,-0.048981697314814096,0.42976380532725955,0.17334312641509056,5
Exp_084,CNN,Inlier,0.26115466716063107,-0.4055460034952113,0.5941315656899664,0.35470694467978947,4
Exp_084,Transformer,Inlier,-0.30790692359248195,-0.443403938029756,-0.048981697314814096,0.1391416161249742,6
Exp_085,RF,Inlier,0.24691306202580182,-0.17454523027837196,0.8201674598610097,0.457855043644563,2
Exp_085,XGB,Inlier,-0.11719819693326716,-0.5852445125752971,0.3391266502902956,0.30380537414030595,5
Exp_085,SVR,Inlier,0.17922016447462658,-0.2755942245563837,0.7880357780835698,0.4579882813399692,3
Exp_085,LSTM,Inlier,-0.17926884994454967,-0.5852445125752971,0.3622568545309593,0.30593432438732454,6
Exp_085,CNN,Inlier,-0.1071219623018818,-0.2755942245563837,0.3622568545309593,0.23832492476832637,4
Exp_085,Transformer,Type2,0.2769421860612445,-0.25450785160461564,0.8201674598610096,0.4373760649088894,1
Exp_086,RF,Inlier,0.31089096190091414,-0.27367885358922894,0.7087884911263715,0.4180946853169806,1
