experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_033,SVR,Inlier,,,,,,,,,10.0,0.5,,,,,,,,,
Exp_033,LSTM,Inlier,,,,,,,,,,,32,0.3,0.001,0.002,,,,,
Exp_033,CNN,Inlier,,,,,,,,,,,,0.1,0.005,,32,3,,,
Exp_033,Transformer,Inlier,,,,,,,,,,,,0.1,,0.0005,,,4,64,1
Exp_034,RF,Inlier,15,30,0.6,,,,,,,,,,,,,,,,
Exp_034,XGB,Inlier,6,,,0.02,0.7,0.7,5.0,5.0,,,,,,,,,,,
Exp_034,SVR,Inlier,,,,,,,,,50.0,0.5,,,,,,,,,
Exp_034,LSTM,Type2,,,,,,,,,,,24,0.5,0.001,0.002,,,,,
Exp_034,CNN,Inlier,,,,,,,,,,,,0.4,0.02,,48,3,,,
Exp_034,Transformer,Type2,,,,,,,,,,,,0.2,,0.001,,,2,32,1
Exp_035,RF,Inlier,15,40,0.3,,,,,,,,,,,,,,,,
Exp_035,XGB,Inlier,3,,,0.005,0.8,0.9,0.5,8.0,,,,,,,,,,,
Exp_035,SVR,Inlier,,,,,,,,,30.0,0.5,,,,,,,,,
Exp_035,LSTM,Inlier,,,,,,,,,,,32,0.1,0.02,0.002,,,,,
Exp_035,CNN,Inlier,,,,,,,,,,,,0.1,0.02,,64,3,,,
Exp_035,Transformer,Inlier,,,,,,,,,,,,0.1,,0.002,,,2,48,2
Exp_036,RF,Inlier,15,40,0.4,,,,,,,,,,,,,,,,
Exp_036,XGB,Inlier,5,,,0.01,0.9,0.6,0.5,1.0,,,,,,,,,,,
Exp_036,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_036,LSTM,Inlier,,,,,,,,,,,24,0.1,0.01,0.002,,,,,
Exp_036,CNN,Inlier,,,,,,,,,,,,0.1,0.02,,64,7,,,
Exp_036,Transformer,Type2,,,,,,,,,,,,0.3,,0.002,,,2,16,2
Exp_037,RF,Inlier,10,20,0.6,,,,,,,,,,,,,,,,
Exp_037,XGB,Inlier,5,,,0.03,0.9,0.9,1.0,1.0,,,,,,,,,,,
Exp_037,SVR,Inlier,,,,,,,,,50.0,1.5,,,,,,,,,
Exp_037,LSTM,Inlier,,,,,,,,,,,16,0.5,0.005,0.0005,,,,,
Exp_037,CNN,Inlier,,,,,,,,,,,,0.1,0.001,,64,7,,,
Exp_037,Transformer,Type2,,,,,,,,,,,,0.1,,0.002,,,2,24,1
Exp_038,RF,Inlier,12,10,0.3,,,,,,,,,,,,,,,,
Exp_038,XGB,Inlier,4,,,0.005,0.6,0.8,2.0,10.0,,,,,,,,,,,
Exp_038,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_038,LSTM,Inlier,,,,,,,,,,,32,0.4,0.005,0.0005,,,,,
Exp_038,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,24,3,,,
Exp_038,Transformer,Inlier,,,,,,,,,,,,0.1,,0.0005,,,4,48,2
Exp_039,RF,Inlier,6,15,0.7,,,,,,,,,,,,,,,,
Exp_039,XGB,Inlier,6,,,0.01,0.8,0.7,2.0,8.0,,,,,,,,,,,
Exp_039,SVR,Inlier,,,,,,,,,50.0,1.0,,,,,,,,,
Exp_039,LSTM,Inlier,,,,,,,,,,,32,0.3,0.01,0.002,,,,,
Exp_039,CNN,Inlier,,,,,,,,,,,,0.2,0.02,,24,5,,,
Exp_039,Transformer,Type2,,,,,,,,,,,,0.3,,0.001,,,2,48,2
Exp_040,RF,Inlier,6,40,0.4,,,,,,,,,,,,,,,,
Exp_040,XGB,Inlier,3,,,0.005,0.7,0.8,2.0,5.0,,,,,,,,,,,
Exp_040,SVR,Inlier,,,,,,,,,10.0,1.0,,,,,,,,,
Exp_040,LSTM,Inlier,,,,,,,,,,,48,0.3,0.02,0.001,,,,,
Exp_040,CNN,Inlier,,,,,,,,,,,,0.4,0.005,,32,5,,,
Exp_040,Transformer,Type2,,,,,,,,,,,,0.1,,0.002,,,4,32,1
Exp_041,RF,Inlier,10,20,0.5,,,,,,,,,,,,,,,,
Exp_041,XGB,Inlier,4,,,0.005,0.9,0.6,5.0,5.0,,,,,,,,,,,
